acousticness,album,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence,lyrics
0.0453,To The Bone,https://api.spotify.com/v1/audio-analysis/3aTmXPZxyXcB7kDVEzhyLv,Steven Wilson,0.5489999999999999,0.2865224630373826,0.713,3aTmXPZxyXcB7kDVEzhyLv,0.0145,4,0.11900000000000001,0.3945789436963649,1,To The Bone,0.0473,0.5262362897623208,4,https://api.spotify.com/v1/tracks/3aTmXPZxyXcB7kDVEzhyLv,audio_features,spotify:track:3aTmXPZxyXcB7kDVEzhyLv,0.20600000000000002,"once we've made sense of our world, we wanna go fuck up everybody else's because his or her truth doesn't match mine. but this is the problem. truth is individual calculation. which means because we all have different perspectives, there isn't one singular truth, is there?  hold on down and deeper down we're going way down through the floor  don't you wanna see what's at the core?  truth is the icy clear stream we dream about drinking from but if the liquidate liars should they rewire it's smiling bomb  hold on down and down and down and down we're melting down their throne ho-oh down through every superstition virgin, whore, and crone hold on down through all the fear gods to the very truth alone hold on down and down we're going to the bone  truth is the permanent path we laugh about but then avoid thinkin' we all know the way we strayed behind self-destroyed  hold on down and down and down and down we're drilling through their stone ho-oh down through every fairy story built to keep us prone hold on down through every government with gun and guided drone hold on down and down we're going to the bone  rain all the truth down down on me raining so much you make a sea you make a sea  a sea we can sail then sink like a stone down to the truth down to the bone down to the bone"
0.0129,To The Bone,https://api.spotify.com/v1/audio-analysis/6IyWD0fAwt05ee3emHHXkn,Steven Wilson,0.578,0.17403849379073702,0.6,6IyWD0fAwt05ee3emHHXkn,0.0131,9,0.126,0.4110793274262192,1,Nowhere Now,0.0327,0.6893749605271469,4,https://api.spotify.com/v1/tracks/6IyWD0fAwt05ee3emHHXkn,audio_features,spotify:track:6IyWD0fAwt05ee3emHHXkn,0.154,six feet underground we move backwards now at the speed of sound we are nowhere now  too much time to kill too much wasted ink too much everything there's no need to think  here above the clouds i am free of all the crowds and i float above the stars and i feel the rush of love  looking down at earth it is luminous observed  we had every chance but we never learn we just make it worse what we don't deserve  the principle of love has no meaning here 'cause if you don't adhere better get out while you can  here above the clouds i am free of all the crowds and i float above the stars and i feel the rush of love  looking down at earth it is luminous observed  here above the clouds i am free of all the crowds and i float above the stars and i feel the rush of love  looking down at earth it is luminous observed  six feet underground we move backwards now at the speed of sound we are nowhere now
0.0948,To The Bone,https://api.spotify.com/v1/audio-analysis/7CcaktZZsdb8AWPdhDM38f,Steven Wilson,0.494,0.20426944368914648,0.204,7CcaktZZsdb8AWPdhDM38f,0.0891,6,0.209,0.4612084001953534,0,Pariah,0.0326,0.7104745163259721,4,https://api.spotify.com/v1/tracks/7CcaktZZsdb8AWPdhDM38f,audio_features,spotify:track:7CcaktZZsdb8AWPdhDM38f,0.0491,i'm tired of weakness tired of my feet of clay i'm tired of days to come i'm tired of yesterday and all the worn out things that i ever said now it's much too late the words stay in my head  so the day will begin again take comfort from me it's up to you now you're still here and you'll dig in again that's comfort to you it's up to you now so pariah you'll begin again take comfort from me and i will take comfort from you  i'm tired of facebook tired of my failing health i'm tired of everyone and that includes myself well being alone now it doesn't bother me but not knowing if you are that's been hell you see  so the day will begin again take comfort from me it's up to you now you're still here and you'll dig in again that's comfort to you it's up to you now so pariah you'll begin again take comfort from me it will take time  don't you worry don't worry about a thing 'cause nothing really dies nothing really ends
0.0099,To The Bone,https://api.spotify.com/v1/audio-analysis/5EYEOZLyr1XuHzW5ZPLkFD,Steven Wilson,0.457,0.22443340163130088,0.8290000000000001,5EYEOZLyr1XuHzW5ZPLkFD,0.0007769999999999999,4,0.319,0.3196818530663504,0,The Same Asylum As Before,0.0467,0.8317561735542409,4,https://api.spotify.com/v1/tracks/5EYEOZLyr1XuHzW5ZPLkFD,audio_features,spotify:track:5EYEOZLyr1XuHzW5ZPLkFD,0.499,"are you proud of all your failures? are you dragging mother nature down? you believe you have dominion so you force your lame opinions on me and my eggshell mind  wake it up to see through you we'll all disappear in the same asylum as before make it up you always do it's tough to live here in the same asylum as before  you have your inspiration you control in domination, yeah you represent the people but you don't believe in free will for me and my eggshell mind  wake it up to see through you we'll all disappear in the same asylum as before make it up you always do it's tough to live here in the same asylum as before  the same asylum as before the same asylum as before the same asylum as before  wake it up to see through you we'll all disappear in the same asylum as before make it up you always do it's tough to live here in the same asylum as before  the same asylum as before the same asylum as before the same asylum as before  the same asylum as before the same asylum as before the same asylum as before the same asylum as before"
0.0873,To The Bone,https://api.spotify.com/v1/audio-analysis/3lxD0l11Oog4UUZe24SrkG,Steven Wilson,0.43,0.2882923581211422,0.273,3lxD0l11Oog4UUZe24SrkG,0.031,4,0.0823,0.4916974813367753,0,Refuge,0.0361,0.5999189490747563,4,https://api.spotify.com/v1/tracks/3lxD0l11Oog4UUZe24SrkG,audio_features,spotify:track:3lxD0l11Oog4UUZe24SrkG,0.0483,"here in the wreckage the winter is hard i sleep in the same clothes that i dragged through the mud  and if you ask me nothing's changed there's nowhere else i can go so i stay  we're writhing rats we make beds in the straw and then we build houses paint our names on the door  and if you ask me again is this life? i don't see i have a choice but i still smile  and bide my time  i who have no roots and nowhere to go and as for the future well, i really don't know  but if you ask me i will nod but if you ask me...  here i am here i am  my dear wife and my children of god the borders were already drawn for us  hold on to life in this refuge of dirt and search for a place you can breathe again  it's not a crime  i'd love to see you again sometime soon but will you give back to me now what you stole?"
0.04,To The Bone,https://api.spotify.com/v1/audio-analysis/1tzCbOeyoKtCNkynz4HmQk,Steven Wilson,0.5820000000000001,0.15316158214347142,0.746,1tzCbOeyoKtCNkynz4HmQk,6.19e-05,0,0.431,0.3015070117909719,0,Permanating,0.0263,0.7267373318456454,4,https://api.spotify.com/v1/tracks/1tzCbOeyoKtCNkynz4HmQk,audio_features,spotify:track:1tzCbOeyoKtCNkynz4HmQk,0.507,somewhere on the highway with a luminous moon swimming after dark and then awaken to you  hold on hold onto the minute and sing it and live it it's always there  hold on hold onto the minute and feel it believe it  and time is moving on and listenening to the song we get older together  and every time we breathe another moment leaves us forever to the nether  hold on hold onto the minute and sing it and live it it's always there  hold on hold onto the minute and feel it believe it  permanating celebrating now we're levitating high above the clouds yesterday is the place where all your friends will always  permanating celebrating now we're levitating high above the clouds yesterday is the place where all your dreams are always  and time is moving on and listenening to the song we get older together  and every time we breathe another moment leaves us forever to the nether  hold on hold onto the minute and sing it and live it it's always there  hold on hold onto the minute and feel it believe it  permanating celebrating now we're levitating high above the clouds yesterday is the place where all your friends will always  permanating celebrating now we're levitating high above the clouds yesterday is the place where all your dreams are always  hold on hold onto the minute and sing it and live it it's always there  hold on hold onto the minute and feel it believe it  hold on hold onto the minute and sing it and live it it's always there  hold on hold onto the minute and feel it believe it
0.975,To The Bone,https://api.spotify.com/v1/audio-analysis/0PaCLduwMvGn19BNUHq0L1,Steven Wilson,0.603,0.0917098257010176,0.0722,0PaCLduwMvGn19BNUHq0L1,0.127,5,0.11699999999999999,0.6796204562896812,1,Blank Tapes,0.0375,0.6099292646470601,3,https://api.spotify.com/v1/tracks/0PaCLduwMvGn19BNUHq0L1,audio_features,spotify:track:0PaCLduwMvGn19BNUHq0L1,0.174,all that i know is you'll be gone before i get home i'll break a butterfly on a wheel before i let go  nothing left for us nothing is left but the blank tapes nothing left for us nothing is left but the blank tapes in your car  once i could hold you and the world reflected back at me we lost perspective on the things that are and love that seems  nothing left for us nothing is left but the blank tapes nothing left for us nothing is left but the blank tapes in your car
0.00215,To The Bone,https://api.spotify.com/v1/audio-analysis/5LlhPAV6Wtwc3veHr4u2ZB,Steven Wilson,0.336,0.2587179822054177,0.795,5LlhPAV6Wtwc3veHr4u2ZB,0.0333,0,0.262,0.3519849298820903,1,People Who Eat Darkness,0.0507,0.4009547167428055,4,https://api.spotify.com/v1/tracks/5LlhPAV6Wtwc3veHr4u2ZB,audio_features,spotify:track:5LlhPAV6Wtwc3veHr4u2ZB,0.304,i live in the flat next door and i can hear you fuck your girlfriend through the wall but the only thing we share is the slightest nod as we're passing on the stairs  but behind the closed doors the bees were buzzing inciting me to war you're penitent maybe but it's really not your fault you fail to see  we who eat the darkness we who eat the darkness  i take out the trash at night and on thursday's i go shopping for supplies i walk my son to school and i seem to have the same problems as you  but what you will see are the threads of what i want you to believe and all that you hold dear is under threat from someone all too near  we who eat the darkness we who eat the darkness  well you lost control and your kids became confused among the powder kegs with nothing left to lose so now your chickens are coming home to roost  do you think the fight is real? do you feel my teeth are snapping at your heels? you who tell me how to live and you feed me with your poison 'til i'm sick  pretend that we're not here if you look the other way we disappear we want you to ignore the people who eat darkness from next door  we who eat the darkness we who eat the darkness we who eat the darkness we who eat the darkness  well you lost control and your kids became confused among the powder kegs with nothing left to lose so now your chickens are coming home to roost
0.25,To The Bone,https://api.spotify.com/v1/audio-analysis/0rHyrUwNjEJKRywss2MvTm,Steven Wilson,0.5489999999999999,0.22973309553936486,0.27399999999999997,0rHyrUwNjEJKRywss2MvTm,0.6779999999999999,8,0.0954,0.5789436963650317,1,Song Of I,0.0412,0.8951548388454981,4,https://api.spotify.com/v1/tracks/0rHyrUwNjEJKRywss2MvTm,audio_features,spotify:track:0rHyrUwNjEJKRywss2MvTm,0.233,"i'm truly sorry but this is my addiction you're deep in my system in my system  i gave it all up i gave it up to show you that i care to show you that i could but don't you ever ask me to give up you  i gave up all the late nights i gave up haunting bars i gave up all the drinking and trashing all the cars i gave it all up  i gave up all the gambling i gave up picking fights i gave up saying sorry i gave up being polite i gave it up i gave it all up  i give it up you're in my i give it all up  i give it up you're in my i give it all up  i give it up i give it all up  i give it up i give it all up  i give it up you're in my i give it up  i give it up you're in my i give it up  t'es sous le sable t'es dans l'eau i give it up give it up j'abandonne you're in my  you're in, you're in my i give it up you're in my you're in my"
0.00843,To The Bone,https://api.spotify.com/v1/audio-analysis/5ZcxDZkfflzvZ5nJPyzXZs,Steven Wilson,0.5489999999999999,0.39958593019048494,0.7609999999999999,5ZcxDZkfflzvZ5nJPyzXZs,0.759,0,0.11199999999999999,0.3852298890671876,1,Detonation,0.040999999999999995,0.7210690301256816,4,https://api.spotify.com/v1/tracks/5ZcxDZkfflzvZ5nJPyzXZs,audio_features,spotify:track:5ZcxDZkfflzvZ5nJPyzXZs,0.325,"great god, i don't believe in you but still i will do what you want me to  stand up and fight in the city streets this much i know you expect of me  and the ones who are given it all the good looks, the wealth and the charm and the innocence they are all gonna fall but i will take it back  pale god, i had a dream of you and how you respond when your ego's bruised  they laugh and sneer 'cause they know you're weak but i'll make them pay with an ied  and the ones who are given it all the good looks, the wealth and the charm and the innocence they are all gonna fall but i will take it back  whining god, who the fuck are you? detonation for the greater good swim here, come and hear my heart 'cause when the world breaks you will feel the blast"
0.639,To The Bone,https://api.spotify.com/v1/audio-analysis/6bHiGzAT6lxyWRBXd6lVRF,Steven Wilson,0.47100000000000003,0.2539885085279683,0.239,6bHiGzAT6lxyWRBXd6lVRF,0.0315,7,0.152,0.5062443312635178,1,Song Of Unborn,0.0346,0.6108871392181218,4,https://api.spotify.com/v1/tracks/6bHiGzAT6lxyWRBXd6lVRF,audio_features,spotify:track:6bHiGzAT6lxyWRBXd6lVRF,0.043,it's not what you'll possess it's how you will express the essence of you  it's not the wage you earn it's about the things you learn and the love that you feel  it's not what you'll conceal it's all that you'll reveal that will make you be you the perfection of you  now the shadows are long and the cities are lost to rain and when you wake up every day to find nothing's changed but before you can speak you will learn that it's all the same and the dreams that you will have are public domain and the country lanes are decked with the time to come  it's not the years you pass it's about the moments that last forever in you  now the shadows are long and the cities are lost to rain when you wake up every day to find nothing's changed but before you can speak you will learn that it's all the same and the dreams that you will have are public domain  now the time that is gone doesn't matter to anyone when the country lanes are decked with the time yet to come well the world is exhausted and the wreckage is all around but the arc of your life could still be profound  don't be afraid to die don't be afraid to be alive don't be afraid to die don't be afraid to be alive  don't be afraid
0.73,Transience,https://api.spotify.com/v1/audio-analysis/1cNFPham97ZUBQdJerzwjK,Steven Wilson,0.303,0.13629762213168162,0.215,1cNFPham97ZUBQdJerzwjK,0.499,7,0.12,0.7631689109049047,1,Transience (Single Version),0.0344,0.5895402202058905,4,https://api.spotify.com/v1/tracks/1cNFPham97ZUBQdJerzwjK,audio_features,spotify:track:1cNFPham97ZUBQdJerzwjK,0.142,"cut through the country, speed through the dark a child in a train, tristessa departs it's only the start  filigree circles round her young wrist her mother is frowning at something she missed she fixes her hair  at the failing of the day she heard her father always say ""remember, it's only the start"" it's only the start  when she drifted off to sleep she had the whole world at her feet because it's only the start it's only the start  before they fell away it seemed to matter all the same but it was only the start it's only the start it's only the start"
0.00107,Transience,https://api.spotify.com/v1/audio-analysis/5FY1TBgRm7KxGjJeFAFLSf,Steven Wilson,0.449,0.2195162334348882,0.6679999999999999,5FY1TBgRm7KxGjJeFAFLSf,0.609,4,0.10400000000000001,0.3203795437103188,0,Harmony Korine (2016 Remaster),0.0288,0.7369318540662303,4,https://api.spotify.com/v1/tracks/5FY1TBgRm7KxGjJeFAFLSf,audio_features,spotify:track:5FY1TBgRm7KxGjJeFAFLSf,0.125,"rain, come down, and fall forever drain, the dirt, into the wasteland pray, for sound, to quiet the howling  feel, no shame, too brave feel, afraid, to wait forever  kneel, to fade, the day's corrosion crawl, depart, towards perdition gray, the part, the bruise within you  feel, no shame, too brave feel, afraid, to wait forever  forever  feel, no shame, too brave feel, afraid, to wait forever"
0.713,Transience,https://api.spotify.com/v1/audio-analysis/4ljhFu8oqaGZSOZD4tadZZ,Steven Wilson,0.467,0.19084678774747307,0.29100000000000004,4ljhFu8oqaGZSOZD4tadZZ,0.285,0,0.0966,0.4075559896741784,1,Postcard,0.0287,0.6945116944906424,4,https://api.spotify.com/v1/tracks/4ljhFu8oqaGZSOZD4tadZZ,audio_features,spotify:track:4ljhFu8oqaGZSOZD4tadZZ,0.0948,"i think it's time that i got off the kitchen floor but is there really any point at all? waking up this morning felt the same better sleep while life is so mundane  it could have been yesterday that i locked the door i blocked the windows up so i can't be sure now i haven't even got the will to eat i'm lame and self-obsessed, that i will concede  i'd like to light a cigarette but i cannot the lighter's dead and the gas has been cut off  i'm the one you always seem to read about the fire inside my eyes has long gone out there's nothing left for me to say or do 'cause all that matters disappeared when i lost you..."
0.000647,Transience,https://api.spotify.com/v1/audio-analysis/7uQnMT010WDA6s13D9UFZg,Steven Wilson,0.315,0.1940126162118108,0.517,7uQnMT010WDA6s13D9UFZg,0.8540000000000001,2,0.6809999999999999,0.38840438149724416,1,Significant Other (2016 Remaster),0.0309,0.8099461063977601,3,https://api.spotify.com/v1/tracks/7uQnMT010WDA6s13D9UFZg,audio_features,spotify:track:7uQnMT010WDA6s13D9UFZg,0.0638,"pulling back from the precipice feel so small now, stars shine bright above don't know why receive a better life for a song can't but try, other leads apply  looking up at tragic rush on underground birds will turn and fly don't know why passing through the day, only child breathe a sigh, other leads apply  raining all day, trying to reach you feel so helpless, can't stop counting time (but in time) don't know why, hands upon stealing my heart (warning, good night) graceful dives, other leads apply (roses, rain down from the sky)"
0.9790000000000001,Transience,https://api.spotify.com/v1/audio-analysis/1qSNKIVLtI7JI8Mzm8qgbx,Steven Wilson,0.5429999999999999,0.16731217880507818,0.155,1qSNKIVLtI7JI8Mzm8qgbx,0.7559999999999999,2,0.092,0.69336496197586,1,Insurgentes (2016 Remaster),0.0326,0.4844634849792636,4,https://api.spotify.com/v1/tracks/1qSNKIVLtI7JI8Mzm8qgbx,audio_features,spotify:track:1qSNKIVLtI7JI8Mzm8qgbx,0.0399,holy mother of a simple one when you smile at me you bring me down you betray your thoughts all your prayers to naught  now out of death you speak in tongues and out of breath your work is done and your dreams absolve and your paths dissolve  and your dreams absolve and your paths dissolve
0.000791,Transience,https://api.spotify.com/v1/audio-analysis/2Fv0CAUbCH1iz1vGmE7Zd3,Steven Wilson,0.297,0.21552183715109693,0.675,2Fv0CAUbCH1iz1vGmE7Zd3,0.0016699999999999998,7,0.22,0.3043326588990441,1,The Pin Drop,0.0471,0.6869750110523989,4,https://api.spotify.com/v1/tracks/2Fv0CAUbCH1iz1vGmE7Zd3,audio_features,spotify:track:2Fv0CAUbCH1iz1vGmE7Zd3,0.04,"carried away by the river that passes through bulrushes on to the sea dragged by the current to rest on the stakes of the breakwater shaded by trees beginnings and endings, love intersecting a rift that will break us apart  love learned in turn dreams burned  i am tired of struggling and the rain is beating down on me i tried to be the way that he wanted me to be i did not hear the pin drop down i did not hear my heart  i have not lived and loved enough things are left unsaid, undone it was not to meant to be like this drifting off without a kiss we built our love, we built our ark nothing ends before it starts i cannot feel my arms and legs i don't deserve this bitter end"
0.433,Transience,https://api.spotify.com/v1/audio-analysis/5efEtCrb9v9OKlQ3u4pYAR,Steven Wilson,0.552,0.2224058726260747,0.44299999999999995,5efEtCrb9v9OKlQ3u4pYAR,0.0034,4,0.32799999999999996,0.43549849996511547,0,Happy Returns (Edit),0.0286,0.7316003873602661,4,https://api.spotify.com/v1/tracks/5efEtCrb9v9OKlQ3u4pYAR,audio_features,spotify:track:5efEtCrb9v9OKlQ3u4pYAR,0.20800000000000002,"hey brother, happy returns, it's been a while now i bet you thought that i was dead but i'm still here, nothing's changed  hey brother, i'd love to tell you i've been busy but that would be a lie 'cause the truth is the years just pass like trains i wave but they don't slow down  hey brother, i see the freaks and dispossessed on day release avoiding the police i feel i'm falling once again but now there's no one left to catch me  hey brother, i feel i'm living in parentheses and i got trouble with the bills do the kids remember me? well i got gifts for them, and for you and sorrow but i'm feeling kind of drowsy now so i'll finish this tomorrow"
0.768,Transience,https://api.spotify.com/v1/audio-analysis/2jSFnKR7svw8tfg0VZzxDd,Steven Wilson,0.214,0.2521665157260174,0.251,2jSFnKR7svw8tfg0VZzxDd,0.68,11,0.537,0.4627084350798856,0,Deform to Form a Star (Edit),0.036000000000000004,0.2462632365634408,4,https://api.spotify.com/v1/tracks/2jSFnKR7svw8tfg0VZzxDd,audio_features,spotify:track:2jSFnKR7svw8tfg0VZzxDd,0.0607,"oh once in a while i learn how to smile horses, shadows, and rain on stone  no god here i'm sure this must be the cure for all this carrion and aimless drift  retreat from the begging and invites to the wedding revelation means nothing here  in time we forget our need to devour all the stories of tortured souls  crawl into your arms become the night forever coiled and close, the moment froze deform to form a star here on earth together i got time to share and a well used stare  this smile isn't pure certain or sure cold precision was never there  the way we uncoil return to the soil flaws are everything and chaos reigns"
0.00613,Transience,https://api.spotify.com/v1/audio-analysis/26w4MNxK4N2WuomauOGOst,Steven Wilson,0.47200000000000003,0.19411752531556584,0.8440000000000001,26w4MNxK4N2WuomauOGOst,0.00043,10,0.617,0.3357985069420219,1,Happiness III,0.0344,0.7892465421780595,4,https://api.spotify.com/v1/tracks/26w4MNxK4N2WuomauOGOst,audio_features,spotify:track:26w4MNxK4N2WuomauOGOst,0.456,
